Chemical Name,CAS Number
Ethanol,64-17-5
Ethylenediaminet etraacetic acid (EDTA),60-00-4
Phenol,108-95-2
Triton X,9036-19-5
Formaldehyde,50-00-0
Paraformaldehyde,30525-89-4
Methanol,67-56-1
Isopropyl alcohol,67-63-0
Acetone,67-64-1
Xylenes,1330-20-7
Yttrium(III) chloride hexahydrate,10025-94-2
(-)-Nicotine hydrogen tartrate,65-31-6
Potassium methanesulfonate,2386-56-3
2-Naphthylamine,91-59-8
Sodium orthovanadate,13721-39-6
L-Alanine,56-41-7
3-Isobutyl-1-methylxanthine,28822-58-4
Potassium hexachloroplatinate (IV),16921-30-5
Copper(II) sulfate anhydrous,7758-98-7
"Acetic acid, glacial",64-19-7
Guanidine thiocyanate,593-84-0
Ethylenediaminetetraacetic acid,60-00-4
Rotenone,83-79-4
Ammonium tartrate,3164-29-2
Cytochalasin D,22144-77-0
Cobalt(II) chloride hexahydrate,7791-13-1
Serotonin hydrochloride,153-98-0
Levodopa,59-92-7
"1,3-Butanediol",107-88-0
Potassium hexachloroosmate (IV),16871-60-6
Allyl paladium chloride,12012-95-2
(A?)-Epibatidine dihydrochloride hydrate,162835-01-0
"3,3'-Diaminobenzidine tetrahydrochloride hydrate",868272-85-9
Brilliant blue G 250,6104-58-1
BDMA,103-83-3
Strontium chloride hexahydrate,10025-70-4
"Glycine, N-methyl-N-(1-oxododecyl)-, sodium salt (1:1)",137-16-6
Sodium methanesulfonate,2386-57-4
Spermine,71-44-3
TES,7365-44-8
Malonic acid,141-82-2
(R)-(+)-beta-Citronellol,1117-61-9
Manganese(II) chloride tetrahydrate,13446-34-9
"Ammonium phosphate, monobasic",7722-76-1
Ethyl acetate,141-78-6
Furosemide,54-31-9
Scopolamine hydrobromide trihydrate,6533-68-2
3-Glycidoxypropyltrimethoxysilane,2530-83-8
Hexane,110-54-3
Neocuproine,484-11-7
Hexamminecobalt(III) chloride,10534-89-1
"DL-1,4-Dithiothreitol",12/3/83
Octanoic acid,124-07-2
Scopolamine hydrobromide,114-49-8
"1,2-Ethylenediamine",107-15-3
Mega-8 (Octanoyl-N-methylglucamide) non-ionic dete,85316-98-9
Adenosine 5'-triphosphate magnesium salt,74804-12-9
Bacto-agar,9002-18-0
TRIS hydrochloride,1185-53-1
Polyethylene glycol (Average MW >600),25322-68-3
Sodium Bisulfate (crystals),7681-38-1
CESIUM METHANESULFONATE,2550-61-0
Sodium nitroprusside,14402-89-2
Di-?-iodobis(ethylinediamine)diplatinum(II)nitrate,109998-76-7
Potassium hexacyanoferrate(II) trihydrate,14459-95-1
Sodium tungstenate dihydrate,10213-10-2
SESAME OIL,8008-74-0
Anisole,100-66-3
Ferrous sulfate heptahydrate,7782-63-0
Paraformaldehyde aqueous solution,
Acetic Acid-13C2,16651-47-1
p-Phenylenediamine dihydrochloride,624-18-0
"1,3-Dimethyl-2-imidazolidinone",80-73-9
Thallium (III) chloride tetrahydrate,13453-33-3
Oxotremorine M,63939-65-1
Atropine methyl nitrate,52-88-0
2-Naphthyl laurate,6343-73-3
Tetra(ethylene gylcol)diacrylate,17831-71-9
Taurine,107-35-7
"1,12-Diaminododecane",2783-17-7
Oxolinic acid,14698-29-4
3-Cyclohexylamino-1-propanesulfonic acid,1135-40-6
Isobutyraldehyde,78-84-2
Phenformin hydrochloride,834-28-6
"4,4'-dithiodipyridine",2645-22-9
"Sulfuric acid, monododecyl ester",151-41-7
L-Glutamic acid,56-86-0
Chemical Name,CAS Number
Propane,74-98-6
"Ammonium molybdate(VI), tetrahydrate",12054-85-2
Gold (II) chloride,10294-29-8
Canada balsam,8007-47-4
Nerol,106-25-2
"N,N,N',N'-Tetramethylethylenediamine",110-18-9
Triethylamine hydrochloride,554-68-7
Iridium (III) bromide hydrate,317828-27-6
Hafnium chloride,13499-05-3
Thiamine hydrochloride (Vitamin B1),67-03-8
"Sodium sulfite, anhydrous",7757-83-7
Toluene,108-88-3
Nimodipine,66085-59-4
Isopentane,78-78-4
L-Serine,56-45-1
Potassium dichromate,7778-50-9
Potassium tetracyanoplatinate (II) trihydrate,14323-36-5
"(+/-)-6-Hydroxy-2,5,7,8-tetramethylchromane-2-carboxylic acid",53188-07-1
Acetamide,60-35-5
Hexanal,66-25-1
Potassium acetate,127-08-2
Sodium citrate dihydrate,4/3/32
Glycine,56-40-6
Spermidine trihydrochloride,334-50-9
"Phenol, liquid",108-95-2
Casein acid hydrolysate,91079-40-2
(1S)-(-)-Camphor,464-48-2
Valeric acid,109-52-4
"D-(+)-Trehalose, Dihydrate",6138-23-4
"N,N-Dimethylformamide",68-12-2
Lithium sulfate monohydrate,10102-25-7
Ammonium hydroxide (>35% but not >50% ammonia in water),1336-21-6
Quinine,130-95-0
"Thiazole, 2,4,5-trimethyl-",13623-11-5
5-Methyl-5-hexen-2-ol,50551-88-7
Formaldehyde solution,"50-00-0, 67-56-1, 77"
Iridium (IV) chloride,207399-11-9
Potassium bicarbonate,298-14-6
Lithium chloride,7447-41-8
"Hydroxylamine, phosphate salt",20845-01-06
Isopropyl-beta-D-thiogalactopyranoside,367-93-1
"Magnesium, powder",7439-95-4
Gadolinium chloro hexahydate,13450-84-5
L-Ascorbic acid,50-81-7
"Sulfuric acid, cadmium salt (1:1)",10124-36-4
Cesium chloride,7647-17-8
Gum arabic,1/5/00
Ammonium persulfate,7727-54-0
Lithium dodecyl sulfate,2044-56-6
Hexadecyltrimethylammonium bromide,57-09-0
DL-a-Tocopherol,10191-41-0
Dichloromethane,75-09-2
Halocarbon oil,9002-83-9
"2,5-Hexanediol",2935-44-6
Tetracycline hydrochloride,64-75-5
L-Asparagine,70-47-3
N-Phenylthiourea,103-85-5
Xylitol,87-99-0
Rhodamine B,81-88-9
Indole (III) acetylaldehyde sodium bisulfite,20095-27-6
Erythromycin,114-07-8
Atropine sulfate monohydrate,5908-99-6
Cromolyn sodium,15826-37-6
Adenine hemisulfate salt,321-30-2
Boric acid,10043-35-3
Isopropyl alcohol,67-63-0
"2,2,2-Tribromoethanol",75-80-9
Ethyl butyrate,105-54-5
D-Raffinose pentahydrate,17629-30-0
Hexene-1,592-41-6
"3,7-Dimethyl-2,6-octadienal",5392-40-5
"Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (4R)-",5989-27-5
"Ethanedioic acid, hydrate",6153-56-6
Nicotinamide,98-92-0
3-Amino-9-ethylcarbazole,132-32-1
Zeolite,1318-02-1
Amyl acetate,628-63-7
Lithium hydroxide,1310-65-2
Triethanolamine hydrochloride,637-39-8
Propyl butyrate,105-66-8
"Poly(oxy-1,2-ethanediyl), a-(9Z)-9-octadecen-1-yl-w-hydroxy-",9004-98-2
Ytterbium(III) chloride hexahydrate,10035-01-5
Silver nitrate,7761-88-8
Agarose,9012-36-6
Iridium carbonyl,11065-24-0
Trizma acetate,6850-28-8
"3,5-Dimethoxy-4-hydrocinnamic acid",530-59-6
Poly[oxy(dimethylsilylene)],9016-00-6
Trichloroacetic acid,76-03-9
Neomycin sulfate,1405-10-3
Limonene,138-86-3
Acetonitrile,75-05-8
"Cytidine, anhydrous",65-46-3
Sodium cacodylate,124-65-2
Sodium phosphate monobasic,7558-80-7
Terbium(III) chloride hexahydrate,13798-24-8
Ferrous ammonium sulfate,10045-89-3
Cresyl Violet acetate,10510-54-0
(+)-A-PINENE (97+%),7785-70-8
Amberlite MB3,67166-70-5
"N,N,N',N'-Tetrakis(2-hydroxyethyl)ethylenediamine",140-07-8
Calcium propionate,4075-81-4
"2,2'-Thiodiethanol",111-48-8
Trimethyllead acetate,5711-19-3
Ondansetron hydrochloride dihydrate,103639-04-9
Sodium Hydroxide Solution,1310-73-2
Pentobarbital sodium,57-33-0
Sodium bisulfite,7631-90-5
L-Glutamic acid monosodium salt monohydrate,4/3/06
Histamine dihydrochloride,56-92-8
4-chloromercuricbenzoic acid,59-85-8
Â±)-4-Methyloctanoic acid,54947-74-9
L-Leucine,61-90-5
Tris(hydroxymethyl)aminomethane,77-86-1
Guanosine,118-00-3
tert-Butanol,75-65-0
Tetraethylammonium chloride,56-34-8
"Propane, 1-bromo-3-chloro-",109-70-6
Sodium ascorbate,134-03-2
Sodium phosphate monobasic monohydrate,10049-21-5
Magnesium sulfate,7487-88-9
"Hydrogen peroxide solution contains inhibitor, 30 wt. % in H2O",7722-84-1
Menthol,89-78-1
Osmium tetroxide,20816-12-0
Potassium iodide,7681-11-0
"Thiocyanic acid, sodium salt",540-72-7
D-(+)-Maltose,69-79-4
"Hydrochloric acid, > or = 37% aqueous solution",7647-01-0
"Acetic acid, 1,1-anhydride",108-24-7
Trypan blue,72-57-1
6-Aminohexanoic acid,60-32-2
Potassium permanganate,7722-64-7
Manganese(II) acetate tetrahydrate,6156-78-1
Sodium propionate,137-40-6
Chlorpromazine hydrochloride,69-09-0
Trimethylamine-N-oxide dihydrate,62637-93-8
cesium;hydroxide;hydrate,35103-79-8
"Aurintricarboxylic acid, ammonium salt",569-58-4
"Molybdic acid, sodium salt",7631-95-0
Indole-3-acetamide,879-37-8
Potassium fluoride,7789-23-3
L-Tryptophan,73-22-3
L-Threonine,72-19-5
Etomidate,33125-97-2
Bromophenol blue sodium salt,34725-61-6
Sodium metaperiodate,7790-28-5
Potassium chloride,7447-40-7
5-Aza-2'-deoxycytidine,2353-33-5
(+)-MK-801 maleate,77086-22-7
5-Fluorouracil,51-21-8
Undecane,1120-21-4
N-Methyl-D-glucamine,6284-40-8
L-Arginine,74-79-3
Sodium dodecyl sulfate,151-21-3
Succinic acid disodium salt,150-90-3
Cobalt Chloride,7646-79-9
Cacodylic acid,75-60-5
Antipyrine,60-80-0
L-Lysine dihydrochloride,657-26-1
Gelatin,9000-70-8
Chloroform,67-66-3
Denatonium benzoate,3734-33-6
Heparan sulfate,9050-30-0
"2-Buten-1-ol, 3-methyl-, 1-acetate",1191-16-8
(R)-(-)-Carvone,6485-40-1
QAE-Sephadex,52219-08-6
"1,1,1,3,3,3-Hexafluoro-2-propanol",920-66-1
2-Methylbutyric acid,116-53-0
alpha-Chloralose,15879-93-3
Methyl mercury (II) chloride,115-09-3
L-Homoarginine hydrochloride,1483-01-8
Eosin Y disodium salt,17372-87-1
Aluminum Ammonium Sulfate,7784-25-0
Sephadex G gel filtration resin for size exclusion and desalting,12624-28-1
